episode,reward
1,4488.800000000001
2,4472.200000000001
3,5678.200000000002
4,5468.200000000002
5,560.1999999999999
6,4720.599999999999
7,1955.6
8,220.2
9,3911.600000000001
10,3442.7999999999997
11,-170.20000000000016
12,4022.4000000000005
13,5329.6
14,4630.199999999999
15,6051.0
16,2701.2
17,4921.0
18,4042.2000000000003
19,3267.7999999999984
20,3841.5999999999995
21,2448.999999999999
22,255.7999999999999
23,5009.6
24,3931.2000000000007
25,848.0000000000002
26,2870.0000000000005
27,1637.8000000000002
28,8037.2
29,4654.2
30,5444.999999999999
31,5462.6
32,4522.6
33,3343.6
34,3445.0000000000005
35,1218.6000000000006
36,5102.199999999999
37,6914.199999999999
38,5217.200000000002
39,5264.2
40,7201.4000000000015
41,7440.199999999997
42,5181.400000000001
43,5989.200000000001
44,2838.5999999999995
45,5835.600000000003
46,4511.999999999998
47,4689.4
48,-905.2000000000002
49,3805.2000000000007
50,5189.400000000001
51,3780.0
52,1862.8
53,2294.4
54,2917.4
55,4488.000000000001
56,5903.5999999999985
57,6444.199999999997
58,2741.800000000001
59,4286.000000000001
60,4141.200000000001
61,5740.199999999999
62,7317.199999999998
63,3113.9999999999995
64,3723.7999999999993
65,3243.000000000001
66,4558.600000000001
67,3548.9999999999995
68,3871.999999999999
69,4539.600000000001
70,3978.7999999999997
71,5939.4
72,4906.800000000001
73,2837.000000000001
74,3904.2000000000003
75,2764.3999999999996
76,2698.4000000000005
77,4785.199999999998
78,5131.000000000002
79,4003.0
80,5129.399999999999
81,5806.0
82,3378.2
83,3628.1999999999985
84,4215.000000000001
85,3159.9999999999995
86,5287.999999999998
87,6739.2
88,5948.999999999999
89,6164.8
90,4954.999999999999
91,7848.400000000001
92,3419.4000000000005
93,3792.2
94,5863.400000000001
95,5797.799999999999
96,5637.399999999998
97,3215.399999999999
98,4209.6
99,4139.4
100,7013.200000000002
101,2648.0
102,2277.799999999999
103,3820.000000000001
104,2504.5999999999995
105,4786.000000000001
106,6583.5999999999985
107,5076.800000000001
108,3593.3999999999996
109,3409.4000000000005
110,6554.199999999998
111,6024.8
112,7224.999999999999
113,6526.5999999999985
114,5918.4000000000015
115,5192.200000000001
116,4605.199999999999
117,4087.5999999999995
118,5434.599999999999
119,5419.800000000001
120,5138.800000000002
121,2875.600000000001
122,2190.7999999999997
123,3571.0
124,5505.600000000002
125,5112.2
126,3749.8000000000006
127,8184.800000000002
128,4290.6
129,4299.400000000001
130,1623.6000000000001
131,5337.800000000001
132,3748.999999999999
133,3937.9999999999995
134,6795.600000000002
135,3248.4
136,5473.800000000003
137,4614.200000000003
138,2731.6000000000004
139,6223.200000000001
140,6036.799999999998
141,2804.6
142,4806.000000000002
143,3447.0
144,5222.200000000001
145,3478.2000000000003
146,4712.6
147,5979.0
148,5380.800000000001
149,4844.8
150,4811.6
151,2973.9999999999995
152,6465.4
153,5691.400000000001
154,1504.6
155,4738.000000000002
156,4621.0
157,5272.000000000003
158,6396.8
159,5955.600000000001
160,5573.000000000001
161,4713.999999999998
162,6020.200000000001
163,6360.799999999999
164,4313.0
165,5506.0
166,4082.8
167,4008.8
168,6460.200000000001
169,4892.199999999998
170,4244.5999999999985
171,4654.799999999999
172,2800.3999999999996
173,3898.3999999999996
174,3385.1999999999994
175,2718.1999999999994
176,3508.599999999999
177,3580.5999999999985
178,4170.6
179,5349.399999999999
180,4035.7999999999997
181,2146.4
182,4292.6
183,5100.799999999999
184,4920.799999999999
185,5434.8
186,3468.8
187,6514.8
188,4423.6
189,4711.2
190,6141.799999999999
191,8191.199999999999
192,4487.400000000001
193,5317.400000000001
194,5618.599999999999
195,4540.0
196,6879.600000000002
197,4040.9999999999995
198,4365.6
199,5766.8
200,4717.0
201,7115.200000000001
202,7717.800000000001
203,6370.000000000001
204,5021.5999999999985
205,7912.999999999996
206,7250.8
207,6581.0
208,7489.0
209,2991.0000000000005
210,6351.799999999999
211,7093.799999999998
212,6760.0
213,7047.199999999999
214,4089.7999999999997
215,4140.4
216,4610.6
217,5323.200000000001
218,5772.4
219,5128.4000000000015
220,4109.200000000001
221,7064.000000000001
222,5329.399999999999
223,6873.599999999999
224,3658.6000000000004
225,5460.400000000002
226,5253.200000000002
227,5975.600000000001
228,4743.2
229,3130.2
230,5282.0
231,6189.000000000001
232,6754.999999999999
233,6409.200000000001
234,6813.999999999997
235,5342.599999999999
236,5466.6
237,6809.599999999999
238,4572.399999999999
239,4775.4
240,6037.800000000002
241,4525.0
242,8156.199999999999
243,6490.4000000000015
244,6690.799999999999
245,7501.599999999999
246,5076.4
247,6924.000000000002
248,6881.600000000001
249,7132.6
